ind,Method,ap,cp,ACC,nmi,ari,std,std,std
0,DCP,0.1,0,52.9,50,35.2,6.2,2.2,4
1,DCP,0.2,0,59.4,59.2,46.4,6,1.5,4.1
2,DCP,0.3,0,64.9,64.7,53.4,5.6,2.1,5.7
3,DCP,0.4,0,71.7,69.7,61.2,7.5,4.4,8
4,DCP,0.5,0,84.1,76.8,72,5.6,1.9,6.2
5,DCP,0.6,0,81.8,77.7,71.5,6.9,3.2,7.3
6,DCP,0.7,0,87.2,82.3,78.8,4.9,1.7,4.7
7,DCP,0.8,0,87.3,83.3,77.6,7.9,3.4,7.4
8,DCP,0.9,0,85.7,84.4,77.6,8.9,3.5,10.1
9,DCP,1,0,89.1,88.9,85.5,4,1.4,3.7
10,DSIMVC,0.1,0,52.21507384,46.58014379,35.66825305,6.8,4.8,6.5
11,DSIMVC,0.2,0,54.36181206,50.79355494,40.94358676,5.016518481,2.7,4.2
12,DSIMVC,0.3,0,57.09856995,49.0959266,38.15501542,8,4.4,6.8
13,DSIMVC,0.4,0,57.6,54.10920816,44.00339305,5.015134317,3.8,5.1
14,DSIMVC,0.5,0,59.26333333,57.12572555,46.97327694,5.5,4,5.5
15,DSIMVC,0.6,0,58.77933333,54.67093129,43.718627,6.4,5.4,7.5
16,DSIMVC,0.7,0,60.9719676,57.58776681,47.30122027,11.83041534,8,11.5
17,DSIMVC,0.8,0,59.38,54.88796474,44.83476847,8.996015476,8.1,9.1
18,DSIMVC,0.9,0,61.21666667,56.78326504,45.51469751,5.501357105,3.7,4.7
19,DSIMVC,1,0,61,58.1,46.7,4.8,3.3,5.5
20,IMVC,0,0,69,63.8,54.1,3.3,2.2,3.1
21,IMVC,0.1,0,93.2,84.7,85.8,0.4,0.7,0.8
22,IMVC,0.2,0,94.8,87.5,88.9,0.2,0.4,0.5
23,IMVC,0.3,0,95.7,89.3,90.7,0.2,0.3,0.3
24,IMVC,0.4,0,96.4,90.9,92.3,0.2,0.4,0.3
25,IMVC,0.5,0,96.8,91.7,93,0.3,0.5,0.6
26,IMVC,0.6,0,97.3,92.9,94.1,0.2,0.5,0.4
27,IMVC,0.7,0,97.7,93.9,95.1,0.2,0.3,0.3
28,IMVC,0.8,0,98.4,95.4,96.5,0.1,0.2,0.2
29,IMVC,0.9,0,98.8,96.5,97.4,0.2,0.4,0.4
30,IMVC,1,0,99.3,97.8,98.4,0.1,0.2,0.2
41,IMVC,0,0.5,73.1,69.5,60.8,3.2,2.7,4
42,IMVC,0.1,0.5,94.8,87.6,88.9,0.4,0.7,0.8
43,IMVC,0.2,0.5,96,90,91.4,0.2,0.3,0.3
44,IMVC,0.3,0.5,96.6,91.2,92.6,0.2,0.4,0.4
45,IMVC,0.4,0.5,96.9,92,93.4,0.1,0.2,0.2
46,IMVC,0.5,0.5,97.4,93.1,94.4,0.2,0.3,0.4
47,IMVC,0.6,0.5,97.7,93.8,95,0.3,0.5,0.5
48,IMVC,0.7,0.5,98.1,94.9,95.9,0.3,0.6,0.6
49,IMVC,0.8,0.5,98.6,95.9,96.9,0.1,0.2,0.2
50,IMVC,0.9,0.5,98.9,96.7,97.6,0.2,0.4,0.4
51,IMVC,1,0.5,99.3,97.8,98.4,0.1,0.2,0.2
62,IMVC,0,1,82.7,79.5,74.2,4.6,3.9,6
63,IMVC,0.1,1,96,90,91.3,0.1,0.1,0.1
64,IMVC,0.2,1,96.7,91.6,93,0.2,0.3,0.4
65,IMVC,0.3,1,97.2,92.7,94,0.2,0.3,0.3
66,IMVC,0.4,1,97.6,93.5,94.7,0.1,0.2,0.2
67,IMVC,0.5,1,97.9,94.2,95.4,0.1,0.2,0.2
68,IMVC,0.6,1,98.2,94.9,96,0,0.1,0
69,IMVC,0.7,1,98.5,95.6,96.6,0,0.1,0.1
70,IMVC,0.8,1,98.8,96.5,97.4,0.1,0.3,0.3
71,IMVC,0.9,1,99,97.1,97.9,0.1,0.3,0.3
72,IMVC,1,1,99.3,97.8,98.4,0.1,0.2,0.2
73,MvCLN,0.1,1,50.7,42.3,34.7,2.9,3.3,4
74,MvCLN,0.2,1,76.1,64.5,60.2,8.1,4.9,6.3
75,MvCLN,0.3,1,72.2,69.1,62,4.7,2.7,4.6
76,MvCLN,0.4,1,91,83,82.4,4.8,3.6,5.7
77,MvCLN,0.5,1,95.3,88.4,89.9,4.4,2.9,4.7
78,MvCLN,0.6,1,96.1,90.2,91.6,0.9,1.5,1.8
79,MvCLN,0.7,1,97.2,92.6,94,0.2,0.6,0.5
80,MvCLN,0.8,1,97.1,92.3,93.7,0.1,0.3,0.3
81,MvCLN,0.9,1,97.9,94.1,95.3,0.2,0.5,0.5
82,MvCLN,1,1,97.5,93.4,94.5,0.2,0.4,0.4
83,PVC,0.1,1,46.2,48.5,38.3,1.6,1.5,1.9
84,PVC,0.2,1,67.8,68.5,63,8.3,4.1,7.7
85,PVC,0.3,1,73.1,72.1,69.1,4.7,1.6,4.3
86,PVC,0.4,1,81.5,81,81.8,10.9,5,10.4
87,PVC,0.5,1,81.8,82.3,82,0.7,1.2,1.6
88,PVC,0.6,1,83.4,84.3,85.4,0.5,0.7,1.1
89,PVC,0.7,1,84.7,87.2,88.1,0.8,1.3,1.8
90,PVC,0.8,1,86.2,89.8,91.1,1.4,1.6,2.8
91,PVC,0.9,1,86.1,90.6,91.5,0.2,0.9,1.1
92,PVC,1,1,87.1,92.8,93.1,4.8,7.1,11.6
31,SURE,0.1,0,45.2,38.9,29.3,4,3.7,4.2
32,SURE,0.2,0,62.9,56.4,49,4.7,3.4,5.7
33,SURE,0.3,0,83.2,73.4,71,5.2,3.7,5.6
34,SURE,0.4,0,87.1,78.9,77.6,5.3,3.6,5.2
35,SURE,0.5,0,93,85.4,85.9,1.8,1.8,2.9
36,SURE,0.6,0,95.5,89,90.4,0.3,0.5,0.6
37,SURE,0.7,0,96.5,91,92.4,0.1,0.3,0.3
38,SURE,0.8,0,96.8,91.8,93.1,0.1,0.1,0.2
39,SURE,0.9,0,97.9,94.2,95.4,0.2,0.4,0.3
40,SURE,1,0,98.4,95.4,96.5,0.4,1.1,1
52,SURE,0.1,0.5,40.3,24.9,19.5,3.6,1.8,2.3
53,SURE,0.2,0.5,54.1,38.7,33.2,5.2,3,3.9
54,SURE,0.3,0.5,68,50.3,47.3,1.6,0.3,0.7
55,SURE,0.4,0.5,74,56.8,55.1,9.6,5.9,9.9
56,SURE,0.5,0.5,85,67.7,69.6,0.1,0.2,0.2
57,SURE,0.6,0.5,87.8,72.5,74.8,0.3,0.5,0.6
58,SURE,0.7,0.5,90.8,78.1,80.6,0.4,0.6,0.7
59,SURE,0.8,0.5,93.3,83.1,85.6,0.2,0.4,0.5
60,SURE,0.9,0.5,95.9,88.9,91,0.3,0.8,0.7
61,SURE,1,0.5,94.1,86.2,87.5,0.3,0.5,0.6
93,SURE,0.1,1,47.7,41.4,32.2,6.3,3.4,5.3
94,SURE,0.2,1,65.4,60.1,51.9,7.2,3.7,6.9
95,SURE,0.3,1,90,79.2,79.7,3.7,2.9,4.5
96,SURE,0.4,1,86.2,80.1,77.6,3.3,2.2,2.1
97,SURE,0.5,1,94.6,87.2,88.6,1.9,1.6,2.8
98,SURE,0.6,1,96.6,91.2,92.7,0.4,0.8,0.8
99,SURE,0.7,1,96.7,91.4,92.9,0.2,0.5,0.5
100,SURE,0.8,1,97.6,93.5,94.9,0.1,0.2,0.2
101,SURE,0.9,1,98.4,95.3,96.4,0.2,0.4,0.4
102,SURE,1,1,98.3,95.2,96.2,0.4,0.9,0.8
103,MVC-UM,0,1,19.3,9.9,4.7,,,
104,DM2C,0,0,23.2,15.4,8,,,
